  -0.02 A-V:-1340884514.485 fd=   0 aq=  119KB vq=    1KB sq=    0B f=0/0   
   0.01 A-V:-1340884514.485 fd=   0 aq= 1692KB vq=    1KB sq=    0B f=0/0   
   7.68 A-V: -0.226 fd=   0 aq= 2170KB vq=    0KB sq=    0B f=0/0   
   7.70 A-V: -0.233 fd=   0 aq= 2169KB vq=    0KB sq=    0B f=0/0   
   7.73 A-V: -0.233 fd=   0 aq= 2169KB vq=    0KB sq=    0B f=0/0   
   7.76 A-V: -0.231 fd=   0 aq= 2168KB vq=    0KB sq=    0B f=0/0   
   7.80 A-V: -0.229 fd=   0 aq= 2167KB vq=    0KB sq=    0B f=0/0   
   7.83 A-V: -0.227 fd=   0 aq= 2167KB vq=    0KB sq=    0B f=0/0   
   7.85 A-V: -0.237 fd=   0 aq= 2167KB vq=    0KB sq=    0B f=0/0   
   7.88 A-V: -0.235 fd=   0 aq= 2166KB vq=    0KB sq=    0B f=0/0   
   7.91 A-V: -0.234 fd=   0 aq= 2165KB vq=    0KB sq=    0B f=0/0   
   7.94 A-V: -0.232 fd=   0 aq= 2165KB vq=    0KB sq=    0B f=0/0   
   7.97 A-V: -0.231 fd=   0 aq= 2164KB vq=    0KB sq=    0B f=0/0   
   8.00 A-V: -0.231 fd=   0 aq= 2164KB vq=    0KB sq=    0B f=0/0   
   8.03 A-V: -0.238 fd=   0 aq= 2163KB vq=    0KB sq=    0B f=0/0   
